# id, p_deg, t_deg, camPosX, camPosY, camPosZ, camEulerX_deg, camEulerY_deg, camEulerZ_deg
1, 15.391890, 13.086580, -0.008965, 1.121711, -0.311704, 348.615400, 357.845900, 0.017257
2, -27.991720, -3.480256, -0.002161, 1.086402, -0.316386, 356.923200, 359.470400, 359.990400
3, -27.189080, 1.984443, 0.006786, 1.076519, -0.302924, 359.291400, 1.572567, -0.003166
4, -27.999120, -3.687192, 0.017619, 1.060249, -0.305088, 3.089528, 4.112944, 0.005647
5, -22.536410, -4.800000, 0.024130, 1.054219, -0.304829, 4.492493, 5.618396, 0.013465
6, -26.418250, 12.412460, 0.031845, 1.093286, -0.298054, 355.394600, 7.200830, -0.000702
7, -27.979960, -4.799995, 0.036266, 1.074016, -0.315403, 359.826400, 8.783948, 359.993800
8, -21.363830, 11.138610, 0.043824, 1.098242, -0.303914, 354.130700, 10.093410, 359.993700
9, -24.591060, -4.584942, 0.047057, 1.074337, -0.317176, 359.771200, 11.421310, 359.993100
10, 14.790540, 13.200000, 0.042462, 1.101498, -0.302872, 353.394100, 9.745236, 0.005726
11, -26.435570, 7.199571, 0.047697, 1.108611, -0.317390, 351.720200, 11.583780, 359.961100
12, 4.636835, -1.285109, 0.042706, 1.078408, -0.312965, 358.848800, 10.208600, 0.004768
13, -28.000000, -3.218383, 0.049312, 1.060968, -0.308809, 2.923594, 11.550040, 0.004171
14, 21.903350, -4.550378, 0.038462, 1.054160, -0.306222, 4.506459, 8.962402, 359.981900
15, -27.430880, -4.799870, 0.049762, 1.052145, -0.308030, 4.974583, 11.615480, 0.027605
16, -27.996770, 6.783385, 0.057178, 1.085165, -0.306191, 357.318600, 13.192930, 0.002876
17, -21.951440, 2.140277, 0.060135, 1.087290, -0.315941, 356.789600, 14.402840, 359.989700
18, 27.979750, -4.793070, 0.052615, 1.061217, -0.312522, 2.867500, 12.487030, -0.002457
19, 27.999950, -1.004415, 0.045267, 1.061449, -0.305030, 2.807991, 10.465270, 359.983900
20, 22.378460, -2.860283, 0.031572, 1.061749, -0.305791, 2.741220, 7.363583, 359.983900
21, 27.886620, 13.177870, 0.023004, 1.100441, -0.299544, 353.738300, 5.245441, 0.003706
22, -27.580970, -0.322116, 0.028882, 1.086574, -0.313722, 356.964500, 6.966319, 359.987700
23, -27.720260, -4.722318, 0.034726, 1.058677, -0.307966, 3.468130, 8.161297, 0.002368
24, 26.019680, -4.800000, 0.024352, 1.051546, -0.303766, 5.117643, 5.646105, 359.975600
25, -24.674820, -4.664329, 0.036639, 1.052090, -0.305451, 4.988388, 8.516455, 0.030276
26, 23.107360, 13.199810, 0.028761, 1.093288, -0.297048, 355.471800, 6.483922, 0.002490
27, -25.904950, 11.668780, 0.032248, 1.120796, -0.315639, 348.830100, 7.831811, 359.975900
28, 8.959477, 2.365315, 0.026756, 1.095250, -0.314063, 354.896800, 6.466591, 0.013061
29, 19.455530, -4.236338, 0.022016, 1.062595, -0.307197, 2.547062, 5.178729, -0.000977
30, 27.675350, -4.789586, 0.012810, 1.052071, -0.302985, 4.993274, 2.967729, 359.981600
31, 28.000000, -4.640849, -0.001082, 1.052043, -0.302611, 4.998398, 359.750200, 359.966700
32, -28.000000, 13.199520, 0.006110, 1.080451, -0.292744, 358.552300, 1.360002, 0.002792
33, -27.978380, -4.751208, 0.013243, 1.067643, -0.309719, 1.439370, 3.153360, -0.002733
34, 27.923300, 1.331748, 0.003307, 1.071863, -0.301709, 0.404003, 0.762832, -0.004848
35, 27.960730, 13.199050, -0.003815, 1.111001, -0.304516, 351.112700, 359.109700, 0.009958
36, 26.896850, 13.138730, -0.011130, 1.128109, -0.316822, 346.983200, 357.267400, 0.043359
37, 27.946000, -4.669147, -0.017776, 1.087300, -0.318908, 356.496700, 355.603000, 0.012425
38, -27.998940, -4.345286, -0.012582, 1.056802, -0.304501, 3.831031, 357.067200, 0.005467
39, 28.000000, 13.195490, -0.019893, 1.095009, -0.296905, 354.872500, 355.507700, 0.002298
40, 28.000000, 11.662170, -0.024633, 1.121060, -0.314905, 348.704900, 354.020500, 0.027345
